TeamName,AdjTempo,AdjOE,AdjDE,eFGPct,TOPct,ORPct,FTRate,eFGPctD,TOPctD,ORPctD,FTRateD
Abilene Christian,68.4092,99.0562,100.198,49.63672391,20.5720636,28.79914984,41.08322325,50.36791759,26.05105542,29.46107784,48.933039
Air Force,68.7757,107.785,110.273,52.86885246,18.07116105,22.50489237,35.0117096,56.22501428,16.43258427,22.75931521,29.81153626
Akron,69.433,108.476,98.9396,51.71997586,17.94923808,27.35381566,35.54616777,45.92127781,18.44099803,29.19254658,29.09298346
Alabama,74.7606,110.969,99.471,52.17169136,19.19656131,29.90115321,36.84210526,47.87712288,18.15326994,30.83131558,35.86413586
Alabama A&M,67.7433,87.9342,108.154,42.44354372,18.78023785,24.9137931,32.65778807,51.29032258,18.16058533,26.96078431,35.19061584
Alabama St.,69.6997,86.2453,103.435,44.63981849,22.60385855,26.04529617,35.67782189,51.2633352,20.35230233,29.81783317,38.349242
Albany,68.5031,94.3221,103.874,48.00820152,19.64156461,24.16427889,33.74340949,49.41828255,18.29815571,25.62674095,28.19944598
Alcorn St.,70.074,96.9478,111.304,47.27802981,20.55645097,27.73109244,31.10823072,51.42764439,17.96707797,28.20512821,37.11875406
American,68.6583,101.142,104.023,51.57773953,17.86122645,26.67322835,28.62880092,49.67046135,19.93139556,29.42913386,36.60874775
Appalachian St.,67.1842,99.937,100.204,48.35918854,19.46540659,26.8738574,41.16945107,49.83022071,20.31172861,27.69516729,27.2778721
Arizona,69.3338,111.016,91.4167,50.73490814,16.67686912,30.72183099,36.69291339,45.26989427,20.55931484,25.85152838,35.16972732
Arizona St.,73.2413,105.993,94.6962,48.81827731,17.87043931,26.50296359,32.40546218,49.13697105,22.29424905,28.60938884,34.24276169
Arkansas,71.21,109.08,95.4879,50.93150685,15.89960413,21.52466368,42.52054795,47.28982301,22.06123933,31.40053524,40.87389381
Arkansas Pine Bluff,66.0681,78.9897,104.62,43.0877193,26.16824809,27.10583153,37.40350877,48.89178618,20.61895034,30.74468085,46.28422425
Arkansas St.,67.2799,104.181,107.472,48.902133,19.03620148,28.93700787,48.11794228,51.95409429,19.90808857,29.08902692,43.05210918
Army,69.4783,98.8107,107.44,52.94292509,16.87246331,20.18442623,25.68370987,51.63934426,16.97055902,25.88011418,23.85528547
Auburn,69.2325,111.366,95.457,50,17.85045213,35.26448363,43.79014989,47.14673913,18.70047366,27.40549828,33.85869565
Austin Peay,67.785,106.931,106.953,51.27565169,18.36291157,32.85328533,37.32667776,53.09606481,20.5478656,27.91828794,32.46527778
